Filename,Nodes,Edges,Nodes + Edges,Colors,Chromatic Number,Execution Time (s),Status
test1.in,1,0,1,1,1,0.000000675000,PASSED
test2.in,4,4,8,2,2,0.000001444200,PASSED
test3.in,9,12,21,2,2,0.000002949499,PASSED
test4.in,16,24,40,2,2,0.000004764500,PASSED
test5.in,25,40,65,2,2,0.000008391000,PASSED
test6.in,36,60,96,2,2,0.000010114499,PASSED
test7.in,49,84,133,2,2,0.000014543700,PASSED
test8.in,64,112,176,2,2,0.000017898000,PASSED
test9.in,81,144,225,2,2,0.000024687899,PASSED
test10.in,100,180,280,2,2,0.000028197700,PASSED
test11.in,121,220,341,2,2,0.000034320300,PASSED
test12.in,144,264,408,2,2,0.000039420200,PASSED
test13.in,169,312,481,2,2,0.000049761999,PASSED
test14.in,196,364,560,2,2,0.000056184400,PASSED
test15.in,225,420,645,2,2,0.000079795999,PASSED
test16.in,256,480,736,2,2,0.000079082100,PASSED
test17.in,289,544,833,2,2,0.000093605500,PASSED
test18.in,324,612,936,2,2,0.000099563500,PASSED
test19.in,361,684,1045,2,2,0.000105363800,PASSED
test20.in,400,760,1160,2,2,0.000125273901,PASSED
test21.in,441,840,1281,2,2,0.000145390200,PASSED
test22.in,484,924,1408,2,2,0.000140173600,PASSED
test23.in,529,1012,1541,2,2,0.000151734100,PASSED
test24.in,576,1104,1680,2,2,0.000171403700,PASSED
test25.in,625,1200,1825,2,2,0.000181780800,PASSED
test26.in,676,1300,1976,2,2,0.000230172401,PASSED
test27.in,729,1404,2133,2,2,0.000270988900,PASSED
test28.in,784,1512,2296,2,2,0.000275967300,PASSED
test29.in,841,1624,2465,2,2,0.000261865200,PASSED

Total tests passed: 29 / 29
Pass percentage: 100.00%
